VS B DENZ PART A I Thigh Tlow Time Dcool Compr Ion HB4861 Fe5160 N5200 Fe5262 O5577 N5755 O6300 HA6563 N6583 S6716 S6731 Fe7155 Fe7172 Ca7291 O7330 Fe7390 Fe7452 Fe8619 C8730 Fe8894 Fe9054 Fe9229 C9850
20.0 1.0 2.0 .5 1 0 0.8593E+04 0.1006E+04 0.2384E+03 0.1642E+16 0.580E+01 0.399E+00 0.307952 0.00012934 0.0582336 0.000772958 0.00050812 0.000249441 0.119485 4.61138e-05 0.0717527 0.248825 0.20448 0.000979286 0.000234043 0.0269458 0.00256832 0.000175532 0.000307952 0.0396426 0.00683653 0.0133004 0.00936173 0.00748322 0.326429
20.0 30.0 2.0 .02 1 0 0.7655E+04 0.1006E+04 0.2905E+04 0.5210E+17 0.310E+01 0.180E-01 0.297863 0.00114082 0.816146 0.00119145 0.00723808 0.0002091 2.34418 8.3614e-07 0.0717851 3.69351 2.49312 0.0120069 0.00303821 0.330628 0.000667214 0.00225483 0.00376499 0.587521 0.00425945 0.200108 0.138724 0.112563 0.24395
20.0 30.0 2.0 .05 1 0 0.7481E+04 0.1014E+04 0.1532E+04 0.2725E+17 0.310E+01 0.439E-01 0.297525 0.000398683 0.283244 0.000547446 0.00232069 0.000132399 0.818193 2.51085e-06 0.0535545 1.34481 0.916377 0.00431114 0.00109489 0.114547 0.000548636 0.000812243 0.00135374 0.214548 0.00354055 0.0728728 0.0506596 0.040993 0.21273
20.0 30.0 2.0 .1 1 0 0.7210E+04 0.1009E+04 0.9067E+03 0.1606E+17 0.309E+01 0.868E-01 0.296409 0.000165989 0.117081 0.000323085 0.000835872 7.32129e-05 0.334942 5.60044e-06 0.0364582 0.595781 0.412008 0.00186441 0.000474254 0.0456469 0.000416454 0.000352726 0.000583925 0.0948567 0.00279217 0.0320892 0.0223966 0.0180513 0.17992
20.0 30.0 2.0 .25 1 0 0.6518E+04 0.1006E+04 0.4596E+03 0.8132E+16 0.307E+01 0.214E+00 0.296874 4.45311e-05 0.0293608 0.000154375 0.000135968 2.08109e-05 0.0804529 1.60001e-05 0.0160906 0.177531 0.127953 0.000525467 0.000133593 0.00878747 0.000198906 0.000100937 0.000163281 0.0283782 0.00153187 0.00949106 0.00670045 0.00534076 0.122906
20.0 30.0 2.0 .5 1 0 0.5655E+04 0.1007E+04 0.2937E+03 0.5215E+16 0.304E+01 0.418E+00 0.296089 1.18436e-05 0.00749106 7.10614e-05 1.54263e-05 4.53017e-06 0.0172324 3.58e-05 0.00627709 0.0577374 0.0444134 0.000156927 4.14525e-05 0.00116067 6.35112e-05 2.96089e-05 5.03352e-05 0.00930905 0.000618827 0.0030586 0.00219698 0.00172028 0.0713575
20.0 10.0 2.5 .02 1 0 0.1177E+05 0.1006E+04 0.7785E+03 0.5840E+16 0.624E+01 0.176E-01 0.246607 0.00356347 2.16768 0.00737602 0.0443893 0.00149937 5.4007 5.6e-06 0.19482 6.23916 4.36495 0.0239456 0.00580267 0.75955 0.004434 0.00430329 0.00751165 0.942422 0.047102 0.325489 0.222521 0.183093 1.75091
20.0 10.0 2.5 .05 1 0 0.1148E+05 0.1003E+04 0.3972E+03 0.2854E+16 0.619E+01 0.427E-01 0.281556 0.0017006 0.943214 0.00522287 0.0189487 0.00133739 2.41012 1.285e-05 0.194274 2.81275 2.05818 0.0111947 0.00269449 0.34913 0.00500607 0.00199905 0.00351101 0.433304 0.0436412 0.148862 0.102309 0.0837377 1.59924
20.0 10.0 2.5 .1 1 0 0.1103E+05 0.1003E+04 0.2484E+03 0.1737E+16 0.606E+01 0.840E-01 0.296202 0.000924151 0.44608 0.00405501 0.0086491 0.00101301 1.17 2.6015e-05 0.166466 1.39215 1.08706 0.00590923 0.00140992 0.177129 0.00502655 0.00104559 0.00185423 0.223129 0.0364329 0.0760618 0.0526855 0.0427864 1.32995
20.0 10.0 2.5 .25 1 0 0.9885E+04 0.1003E+04 0.1485E+03 0.1017E+16 0.576E+01 0.205E+00 0.305787 0.000394465 0.141885 0.00275208 0.00226282 0.000535127 0.379176 6.94e-05 0.11253 0.495375 0.446449 0.00242489 0.000568763 0.0663557 0.00433911 0.000421986 0.000761409 0.0877119 0.0232092 0.0293188 0.0207109 0.0164941 0.895955
