|        ra |        dec | best | size |                  id |
|    double |     double | char |  int |                char |
  77.889606    -68.59823      y     60   J051133.50-683553.6  
  79.197548    -69.73753      y     60   J051647.41-694415.1  
  79.216475   -68.754669      y     60   J051651.95-684516.8  
  79.982899   -69.801644      y     60   J051955.89-694805.9  
  80.738981   -68.971879      y     60   J052257.35-685818.7  
  80.931265   -69.535227      y     60   J052343.50-693206.8  
  81.602075   -71.186593      y     60   J052624.49-711111.7  
   82.41034   -69.253396      y     60   J052938.48-691512.2  
  82.543027   -69.159382      y     60   J053010.32-690933.7  
  83.055438   -69.932693      y     60   J053213.30-695557.6  
  84.437171   -69.904563      y     60   J053744.92-695416.4  
  86.555123   -71.127913      y     60   J054613.22-710740.4  
  86.698751   -70.637091      y     60   J054647.70-703813.5  
  75.893554   -65.807691      y     60   J050334.45-654827.6  
  76.049859   -69.190632      y     60   J050411.96-691126.2  
  77.106205   -68.899946      y     60   J050825.48-685359.8  
  77.982123   -69.505774      y     60   J051155.70-693020.7  
  78.016251   -69.272432      y     60   J051203.90-691620.7  
  78.439184   -68.259929      y     60   J051345.40-681535.7  
  78.965706   -69.169093      y     60   J051551.76-691008.7  
  80.200732    -70.20349      y     60   J052048.17-701212.5  
   81.26364   -69.438129      y     60   J052503.27-692617.2  
  82.189617   -70.078849      y     60   J052845.50-700443.8  
  82.196364   -66.237226      y     60   J052847.12-661414.0  
  83.453833   -70.223224      y     60   J053348.91-701323.6  
  83.842337   -70.658596      y     60   J053522.16-703930.9  
  83.987034   -69.012499      y     60   J053556.88-690044.9  
  73.223834   -66.674769      y     60   J045253.72-664029.1  
  74.230064   -68.459185      y     60   J045655.21-682733.0  
  75.633599   -69.083743      y     60   J050232.06-690501.4  
  76.478173   -66.785541      y     60   J050554.76-664707.9  
   77.99748   -69.425863      y     60   J051159.39-692533.1  
  78.247734   -69.206426      y     60   J051259.45-691223.1  
  78.721363   -69.289874      y     60   J051453.12-691723.5  
  79.822115   -69.529816      y     60   J051917.30-693147.3  
  80.044802   -70.389576      y     60   J052010.75-702322.4  
   81.84198   -69.786174      y     60   J052722.07-694710.2  
  81.980168   -69.974724      y     60   J052755.24-695829.0  
  82.152417   -68.974982      y     60   J052836.58-685829.9  
  82.176331   -69.601969      y     60   J052842.31-693607.0  
  82.200628   -71.041402      y     60   J052848.15-710229.0  
  82.535622   -69.913785      y     60   J053008.54-695449.6  
  83.401321   -69.386832      y     60   J053336.31-692312.5  
  83.568328    -69.96121      y     60   J053416.39-695740.3  
  83.615935   -66.148785      y     60   J053427.82-660855.6  
  83.773498   -69.323132      y     60   J053505.63-691923.2  
  84.058159   -69.928854      y     60   J053613.95-695543.8  
  84.176687   -70.129627      y     60   J053642.40-700746.6  
  84.518977   -70.538335      y     60   J053804.55-703218.0  
    84.6181   -65.971991      y     60   J053828.34-655819.1  
  84.886106   -71.365185      y     60   J053932.66-712154.6  
  85.575662    -69.88036      y     60   J054218.15-695249.2  
  85.795249   -67.457774      y     60   J054310.85-672727.9  
  86.167162   -69.196965      y     60   J054440.11-691149.0  
  86.827267   -70.983271      y     60   J054718.54-705859.7  
  87.567824   -69.713844      y     60   J055016.27-694249.8  
  75.450763    -67.79176      y     60   J050148.18-674730.3  
  77.418833   -69.404654      y     60   J050940.51-692416.7  
  79.617195   -68.067818      y     60   J051828.12-680404.1  
  86.015842   -65.899877      y     60   J054403.80-655359.5  
  86.804009   -70.738019      y     60   J054712.96-704416.8  
  88.299975   -70.256171      y     60   J055311.99-701522.2  
  77.454617   -68.875157      y     60   J050949.10-685230.5  
  78.427574   -67.402782      y     60   J051342.61-672410.0  
  79.926265   -69.093124      y     60   J051942.30-690535.2  
   84.42741   -69.162107      y     60   J053742.57-690943.5  
   84.79834   -69.523802      y     60   J053911.60-693125.6  
  85.054392   -69.287779      y     60   J054013.05-691716.0  
  85.232551   -69.270724      y     60   J054055.81-691614.6  
  86.993862   -69.900129      y     60   J054758.52-695400.4  
  87.078748   -69.877268      y     60   J054818.89-695238.1  
